"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","TDNB","-","-","-","-","-","-","-","-","v Scotland","Durban","13 Sep 2007"
"2","1","8","4","0","0","25.00","4","caught","1","v Pakistan","Durban","14 Sep 2007"
"3","5","8","7","0","0","71.42","5","caught","2","v New Zealand","Johannesburg","16 Sep 2007"
"4","58","14","16","3","7","362.50","5","caught","1","v England","Durban","19 Sep 2007"
"5","70","38","30","5","5","233.33","4","caught","1","v Australia","Durban","22 Sep 2007"
"6","14","28","19","1","0","73.68","4","caught","1","v Pakistan","Johannesburg","24 Sep 2007"
"7","31*","34","25","1","3","124.00","4","not out","2","v Australia","Brabourne","20 Oct 2007"
"8","32","43","21","3","2","152.38","4","caught","2","v Sri Lanka","Colombo (RPS)","10 Feb 2009"
"9","1","4","3","0","0","33.33","5","lbw","1","v New Zealand","Christchurch","25 Feb 2009"
"10","50","33","34","3","4","147.05","4","caught","1","v New Zealand","Wellington","27 Feb 2009"
"11","41","12","18","3","4","227.77","4","caught","1","v Bangladesh","Nottingham","6 Jun 2009"
"12","3*","7","4","0","0","75.00","4","not out","2","v Ireland","Nottingham","10 Jun 2009"
"13","67","55","43","6","2","155.81","4","caught","1","v West Indies","Lord's","12 Jun 2009"
"14","17","14","9","0","2","188.88","5","stumped","2","v England","Lord's","14 Jun 2009"
"15","25","47","25","1","1","100.00","4","caught","2","v South Africa","Nottingham","16 Jun 2009"
"16","6","-","8","0","0","75.00","4","caught","2","v Sri Lanka","Nagpur","9 Dec 2009"
"17","60*","45","25","3","5","240.00","4","not out","2","v Sri Lanka","Mohali","12 Dec 2009"
"18","23*","34","22","0","1","104.54","4","not out","2","v Afghanistan","Gros Islet","1 May 2010"
"19","37","43","30","3","2","123.33","4","caught","1","v South Africa","Gros Islet","2 May 2010"
"20","1","5","2","0","0","50.00","5","bowled","2","v Australia","Bridgetown","7 May 2010"
"21","12","22","14","1","0","85.71","5","caught","2","v West Indies","Bridgetown","9 May 2010"
"22","1","2","2","0","0","50.00","5","caught","1","v Sri Lanka","Gros Islet","11 May 2010"
"23","12","20","13","1","0","92.30","4","run out","1","v South Africa","Durban","9 Jan 2011"
"24","34","49","26","1","2","130.76","4","bowled","2","v New Zealand","Chennai","11 Sep 2012"
"25","18","26","20","0","1","90.00","4","caught","1","v Afghanistan","Colombo (RPS)","19 Sep 2012"
"26","DNB","-","-","-","-","-","-","-","1","v England","Colombo (RPS)","23 Sep 2012"
"27","8","11","10","1","0","80.00","4","caught","1","v Australia","Colombo (RPS)","28 Sep 2012"
"28","19*","24","16","2","0","118.75","4","not out","2","v Pakistan","Colombo (RPS)","30 Sep 2012"
"29","21","18","15","1","2","140.00","5","bowled","1","v South Africa","Colombo (RPS)","2 Oct 2012"
"30","38","21","21","2","3","180.95","4","caught","2","v England","Pune","20 Dec 2012"
"31","4","6","5","0","0","80.00","4","caught","1","v England","Wankhede","22 Dec 2012"
"32","10","21","9","0","1","111.11","4","caught","1","v Pakistan","Bengaluru","25 Dec 2012"
"33","72","59","36","4","7","200.00","4","caught","1","v Pakistan","Ahmedabad","28 Dec 2012"
"34","77*","57","35","8","5","220.00","5","not out","2","v Australia","Rajkot","10 Oct 2013"
"35","1","3","2","0","0","50.00","4","bowled","2","v Pakistan","Mirpur","21 Mar 2014"
"36","10","19","19","1","0","52.63","4","caught","2","v West Indies","Mirpur","23 Mar 2014"
"37","DNB","-","-","-","-","-","-","-","2","v Bangladesh","Mirpur","28 Mar 2014"
"38","60","61","43","5","4","139.53","4","caught","1","v Australia","Mirpur","30 Mar 2014"
"39","18","24","17","2","0","105.88","4","caught","2","v South Africa","Mirpur","4 Apr 2014"
"40","11","30","21","0","0","52.38","4","caught","1","v Sri Lanka","Mirpur","6 Apr 2014"
"41","DNB","-","-","-","-","-","-","-","1","v Australia","Adelaide","26 Jan 2016"
"42","DNB","-","-","-","-","-","-","-","1","v Australia","Melbourne","29 Jan 2016"
"43","15*","28","12","1","1","125.00","5","not out","2","v Australia","Sydney","31 Jan 2016"
"44","10","22","14","0","1","71.42","5","caught","1","v Sri Lanka","Pune","9 Feb 2016"
"45","0","-","1","0","0","0.00","7","caught","1","v Sri Lanka","Ranchi","12 Feb 2016"
"46","DNB","-","-","-","-","-","-","-","2","v Sri Lanka","Visakhapatnam","14 Feb 2016"
"47","15","29","16","1","0","93.75","5","caught","1","v Bangladesh","Mirpur","24 Feb 2016"
"48","14*","66","32","2","0","43.75","5","not out","2","v Pakistan","Mirpur","27 Feb 2016"
"49","35","30","18","3","3","194.44","5","caught","2","v Sri Lanka","Mirpur","1 Mar 2016"
"50","25*","19","14","4","1","178.57","3","not out","2","v U.A.E.","Mirpur","3 Mar 2016"
"51","DNB","-","-","-","-","-","-","-","2","v Bangladesh","Mirpur","6 Mar 2016"
"52","4","-","5","1","0","80.00","5","caught","2","v New Zealand","Nagpur","15 Mar 2016"
"53","24","35","23","1","1","104.34","5","caught","2","v Pakistan","Eden Gardens","19 Mar 2016"
"54","3","8","6","0","0","50.00","7","caught","1","v Bangladesh","Bengaluru","23 Mar 2016"
"55","21","31","18","1","1","116.66","5","caught","2","v Australia","Mohali","27 Mar 2016"
"56","12","13","13","1","0","92.30","4","caught","1","v England","Kanpur","26 Jan 2017"
"57","4","9","12","0","0","33.33","4","lbw","1","v England","Nagpur","29 Jan 2017"
"58","27","23","10","1","3","270.00","5","caught","1","v England","Bengaluru","1 Feb 2017"
